DEPTH	P_L_95	P_H_95	P_L_99	P_H_99
1	-1	1	-1	1
2	-1	1	-1	1
3	-0.666666666666667	0.666666666666667	-1	1
4	-0.75	0.75	-1	0.75
5	-0.6	0.6	-0.8	0.8
6	-0.666666666666667	0.666666666666667	-0.833333333333333	0.833333333333333
7	-0.571428571428571	0.571428571428571	-0.714285714285714	0.714285714285714
8	-0.5	0.5	-0.75	0.75
9	-0.555555555555556	0.555555555555556	-0.666666666666667	0.666666666666667
10	-0.5	0.5	-0.7	0.6
11	-0.454545454545455	0.454545454545455	-0.636363636363636	0.636363636363636
12	-0.416666666666667	0.5	-0.583333333333333	0.583333333333333
13	-0.461538461538462	0.461538461538462	-0.615384615384615	0.615384615384615
14	-0.428571428571429	0.428571428571429	-0.571428571428571	0.571428571428571
15	-0.466666666666667	0.4	-0.6	0.533333333333333
16	-0.4375	0.4375	-0.5625	0.5625
17	-0.411764705882353	0.411764705882353	-0.529411764705882	0.529411764705882
18	-0.388888888888889	0.444444444444444	-0.555555555555556	0.555555555555556
19	-0.421052631578947	0.421052631578947	-0.526315789473684	0.526315789473684
20	-0.4	0.4	-0.5	0.5
21	-0.380952380952381	0.380952380952381	-0.476190476190476	0.523809523809524
22	-0.409090909090909	0.409090909090909	-0.5	0.5
23	-0.391304347826087	0.391304347826087	-0.521739130434783	0.521739130434783
24	-0.375	0.375	-0.5	0.5
25	-0.36	0.36	-0.48	0.48
26	-0.384615384615385	0.384615384615385	-0.5	0.461538461538462
27	-0.37037037037037	0.37037037037037	-0.481481481481482	0.481481481481481
28	-0.357142857142857	0.357142857142857	-0.5	0.464285714285714
29	-0.379310344827586	0.379310344827586	-0.482758620689655	0.482758620689655
30	-0.366666666666667	0.366666666666667	-0.466666666666667	0.466666666666667
31	-0.354838709677419	0.354838709677419	-0.483870967741935	0.451612903225806
32	-0.375	0.34375	-0.46875	0.46875
33	-0.363636363636364	0.363636363636364	-0.454545454545455	0.454545454545455
34	-0.352941176470588	0.352941176470588	-0.441176470588235	0.441176470588235
35	-0.342857142857143	0.342857142857143	-0.457142857142857	0.457142857142857
36	-0.333333333333333	0.333333333333333	-0.444444444444444	0.444444444444444
37	-0.324324324324324	0.351351351351351	-0.432432432432432	0.459459459459459
38	-0.342105263157895	0.342105263157895	-0.447368421052632	0.447368421052632
39	-0.358974358974359	0.333333333333333	-0.435897435897436	0.461538461538462
40	-0.325	0.325	-0.425	0.45
41	-0.341463414634146	0.341463414634146	-0.439024390243902	0.439024390243902
42	-0.333333333333333	0.333333333333333	-0.428571428571429	0.428571428571429
43	-0.325581395348837	0.325581395348837	-0.418604651162791	0.418604651162791
44	-0.318181818181818	0.340909090909091	-0.431818181818182	0.431818181818182
45	-0.333333333333333	0.333333333333333	-0.444444444444444	0.422222222222222
46	-0.326086956521739	0.326086956521739	-0.434782608695652	0.41304347826087
47	-0.319148936170213	0.319148936170213	-0.446808510638298	0.425531914893617
48	-0.333333333333333	0.3125	-0.416666666666667	0.416666666666667
49	-0.326530612244898	0.326530612244898	-0.408163265306123	0.428571428571429
50	-0.32	0.32	-0.42	0.42
51	-0.333333333333333	0.333333333333333	-0.431372549019608	0.411764705882353
52	-0.326923076923077	0.326923076923077	-0.423076923076923	0.403846153846154
53	-0.320754716981132	0.320754716981132	-0.415094339622641	0.415094339622642
54	-0.314814814814815	0.314814814814815	-0.407407407407407	0.407407407407407
55	-0.327272727272727	0.309090909090909	-0.418181818181818	0.418181818181818
56	-0.321428571428571	0.321428571428571	-0.410714285714286	0.410714285714286
57	-0.315789473684211	0.315789473684211	-0.403508771929825	0.421052631578947
58	-0.310344827586207	0.310344827586207	-0.396551724137931	0.413793103448276
59	-0.322033898305085	0.305084745762712	-0.406779661016949	0.406779661016949
60	-0.316666666666667	0.316666666666667	-0.416666666666667	0.4
61	-0.311475409836066	0.311475409836066	-0.409836065573771	0.426229508196721
62	-0.306451612903226	0.32258064516129	-0.403225806451613	0.419354838709677
63	-0.301587301587302	0.301587301587302	-0.412698412698413	0.412698412698413
64	-0.3125	0.3125	-0.40625	0.40625
65	-0.307692307692308	0.323076923076923	-0.4	0.415384615384615
66	-0.318181818181818	0.318181818181818	-0.409090909090909	0.424242424242424
67	-0.313432835820896	0.313432835820895	-0.402985074626866	0.402985074626866
68	-0.308823529411765	0.308823529411765	-0.411764705882353	0.397058823529412
69	-0.304347826086957	0.304347826086957	-0.391304347826087	0.405797101449275
70	-0.314285714285714	0.314285714285714	-0.4	0.4
71	-0.295774647887324	0.295774647887324	-0.394366197183099	0.408450704225352
72	-0.305555555555556	0.305555555555556	-0.402777777777778	0.388888888888889
73	-0.301369863013699	0.301369863013699	-0.383561643835616	0.397260273972603
74	-0.297297297297297	0.297297297297297	-0.391891891891892	0.405405405405405
75	-0.306666666666667	0.306666666666667	-0.4	0.386666666666667
76	-0.302631578947368	0.289473684210526	-0.394736842105263	0.394736842105263
77	-0.298701298701299	0.298701298701299	-0.38961038961039	0.38961038961039
78	-0.307692307692308	0.307692307692308	-0.384615384615385	0.397435897435897
79	-0.30379746835443	0.30379746835443	-0.405063291139241	0.392405063291139
80	-0.3125	0.3125	-0.4	0.4125
81	-0.308641975308642	0.296296296296296	-0.395061728395062	0.395061728395062
82	-0.304878048780488	0.304878048780488	-0.390243902439024	0.414634146341463
83	-0.301204819277108	0.301204819277108	-0.397590361445783	0.397590361445783
84	-0.297619047619048	0.297619047619048	-0.380952380952381	0.380952380952381
85	-0.305882352941176	0.305882352941176	-0.411764705882353	0.4
86	-0.302325581395349	0.302325581395349	-0.395348837209302	0.406976744186047
87	-0.298850574712644	0.28735632183908	-0.390804597701149	0.390804597701149
88	-0.295454545454545	0.295454545454546	-0.397727272727273	0.386363636363636
89	-0.303370786516854	0.292134831460674	-0.404494382022472	0.382022471910112
90	-0.288888888888889	0.3	-0.377777777777778	0.388888888888889
91	-0.296703296703297	0.296703296703297	-0.384615384615385	0.384615384615385
92	-0.304347826086957	0.304347826086956	-0.41304347826087	0.391304347826087
93	-0.290322580645161	0.301075268817204	-0.376344086021505	0.387096774193548
94	-0.297872340425532	0.297872340425532	-0.382978723404255	0.382978723404255
95	-0.294736842105263	0.294736842105263	-0.378947368421053	0.378947368421053
96	-0.302083333333333	0.291666666666667	-0.375	0.375
97	-0.298969072164949	0.298969072164948	-0.402061855670103	0.391752577319588
98	-0.295918367346939	0.285714285714286	-0.387755102040816	0.36734693877551
99	-0.292929292929293	0.292929292929293	-0.383838383838384	0.393939393939394
100	-0.29	0.29	-0.38	0.39
101	-0.297029702970297	0.297029702970297	-0.366336633663366	0.376237623762376
102	-0.294117647058824	0.284313725490196	-0.382352941176471	0.382352941176471
103	-0.300970873786408	0.29126213592233	-0.398058252427184	0.378640776699029
104	-0.298076923076923	0.288461538461538	-0.384615384615385	0.384615384615385
105	-0.295238095238095	0.295238095238095	-0.380952380952381	0.39047619047619
106	-0.292452830188679	0.292452830188679	-0.386792452830189	0.39622641509434
107	-0.299065420560748	0.289719626168224	-0.392523364485981	0.373831775700935
108	-0.296296296296296	0.296296296296296	-0.398148148148148	0.388888888888889
109	-0.284403669724771	0.302752293577982	-0.36697247706422	0.394495412844037
110	-0.290909090909091	0.3	-0.390909090909091	0.390909090909091
111	-0.288288288288288	0.288288288288288	-0.36036036036036	0.369369369369369
112	-0.285714285714286	0.294642857142857	-0.375	0.383928571428571
113	-0.283185840707965	0.283185840707965	-0.371681415929204	0.380530973451327
114	-0.289473684210526	0.289473684210526	-0.368421052631579	0.385964912280702
115	-0.28695652173913	0.28695652173913	-0.382608695652174	0.373913043478261
116	-0.293103448275862	0.293103448275862	-0.379310344827586	0.379310344827586
117	-0.282051282051282	0.290598290598291	-0.367521367521368	0.393162393162393
118	-0.288135593220339	0.296610169491525	-0.38135593220339	0.389830508474576
119	-0.285714285714286	0.294117647058824	-0.378151260504202	0.394957983193277
120	-0.291666666666667	0.283333333333333	-0.375	0.375
121	-0.289256198347107	0.289256198347107	-0.371900826446281	0.380165289256198
122	-0.286885245901639	0.295081967213115	-0.377049180327869	0.368852459016393
123	-0.284552845528455	0.284552845528455	-0.373983739837398	0.365853658536585
124	-0.290322580645161	0.290322580645161	-0.387096774193548	0.387096774193548
125	-0.296	0.288	-0.376	0.384
126	-0.285714285714286	0.285714285714286	-0.373015873015873	0.373015873015873
127	-0.291338582677165	0.291338582677165	-0.377952755905512	0.385826771653543
128	-0.28125	0.2890625	-0.375	0.3671875
129	-0.286821705426357	0.286821705426357	-0.372093023255814	0.372093023255814
130	-0.292307692307692	0.292307692307692	-0.369230769230769	0.376923076923077
131	-0.290076335877863	0.290076335877863	-0.389312977099237	0.366412213740458
132	-0.287878787878788	0.287878787878788	-0.378787878787879	0.378787878787879
133	-0.285714285714286	0.293233082706767	-0.37593984962406	0.368421052631579
134	-0.291044776119403	0.283582089552239	-0.395522388059702	0.365671641791045
135	-0.281481481481481	0.288888888888889	-0.362962962962963	0.355555555555556
136	-0.294117647058823	0.286764705882353	-0.382352941176471	0.382352941176471
137	-0.284671532846715	0.284671532846715	-0.364963503649635	0.372262773722628
138	-0.282608695652174	0.289855072463768	-0.369565217391304	0.36231884057971
139	-0.287769784172662	0.287769784172662	-0.37410071942446	0.366906474820144
140	-0.285714285714286	0.285714285714286	-0.371428571428571	0.378571428571429
141	-0.283687943262411	0.283687943262411	-0.375886524822695	0.368794326241135
142	-0.28169014084507	0.28169014084507	-0.373239436619718	0.366197183098592
143	-0.286713286713287	0.286713286713287	-0.370629370629371	0.377622377622378
144	-0.284722222222222	0.277777777777778	-0.375	0.375
145	-0.282758620689655	0.282758620689655	-0.36551724137931	0.379310344827586
146	-0.287671232876712	0.287671232876712	-0.36986301369863	0.36986301369863
147	-0.27891156462585	0.285714285714286	-0.374149659863946	0.36734693877551
148	-0.283783783783784	0.290540540540541	-0.371621621621622	0.371621621621622
149	-0.288590604026846	0.281879194630873	-0.369127516778524	0.375838926174497
150	-0.28	0.28	-0.366666666666667	0.373333333333333
151	-0.28476821192053	0.28476821192053	-0.370860927152318	0.370860927152318
152	-0.289473684210526	0.276315789473684	-0.381578947368421	0.368421052631579
153	-0.287581699346405	0.281045751633987	-0.379084967320261	0.372549019607843
154	-0.279220779220779	0.292207792207792	-0.376623376623377	0.376623376623377
155	-0.283870967741935	0.283870967741935	-0.361290322580645	0.374193548387097
156	-0.282051282051282	0.282051282051282	-0.365384615384615	0.371794871794872
157	-0.286624203821656	0.286624203821656	-0.369426751592357	0.363057324840764
158	-0.278481012658228	0.278481012658228	-0.373417721518987	0.373417721518987
159	-0.276729559748428	0.283018867924528	-0.364779874213836	0.364779874213837
160	-0.28125	0.275	-0.3625	0.3625
161	-0.279503105590062	0.279503105590062	-0.366459627329193	0.366459627329193
162	-0.283950617283951	0.283950617283951	-0.37037037037037	0.37037037037037
163	-0.276073619631902	0.288343558282209	-0.368098159509202	0.368098159509202
164	-0.286585365853659	0.280487804878049	-0.384146341463415	0.371951219512195
165	-0.284848484848485	0.278787878787879	-0.363636363636364	0.357575757575758
166	-0.289156626506024	0.283132530120482	-0.367469879518072	0.367469879518072
167	-0.287425149700599	0.281437125748503	-0.359281437125749	0.359281437125749
168	-0.279761904761905	0.285714285714286	-0.363095238095238	0.375
169	-0.27810650887574	0.284023668639053	-0.366863905325444	0.378698224852071
170	-0.282352941176471	0.282352941176471	-0.370588235294118	0.376470588235294
171	-0.274853801169591	0.286549707602339	-0.368421052631579	0.380116959064328
172	-0.284883720930233	0.27906976744186	-0.366279069767442	0.372093023255814
173	-0.283236994219653	0.277456647398844	-0.375722543352601	0.364161849710983
174	-0.281609195402299	0.281609195402299	-0.35632183908046	0.362068965517241
175	-0.285714285714286	0.274285714285714	-0.371428571428571	0.365714285714286
176	-0.278409090909091	0.278409090909091	-0.375	0.369318181818182
177	-0.282485875706215	0.271186440677966	-0.367231638418079	0.361581920903955
178	-0.280898876404494	0.280898876404494	-0.359550561797753	0.365168539325843
179	-0.279329608938548	0.279329608938547	-0.363128491620112	0.368715083798883
180	-0.283333333333333	0.277777777777778	-0.361111111111111	0.383333333333333
181	-0.281767955801105	0.281767955801105	-0.364640883977901	0.364640883977901
182	-0.28021978021978	0.274725274725275	-0.373626373626374	0.368131868131868
183	-0.278688524590164	0.284153005464481	-0.366120218579235	0.371584699453552
184	-0.282608695652174	0.277173913043478	-0.380434782608696	0.353260869565217
185	-0.281081081081081	0.281081081081081	-0.372972972972973	0.367567567567568
186	-0.279569892473118	0.28494623655914	-0.365591397849462	0.365591397849462
187	-0.283422459893048	0.27807486631016	-0.368983957219251	0.368983957219251
188	-0.281914893617021	0.281914893617021	-0.367021276595745	0.377659574468085
189	-0.26984126984127	0.275132275132275	-0.354497354497355	0.354497354497355
190	-0.278947368421053	0.273684210526316	-0.373684210526316	0.352631578947368
191	-0.282722513089005	0.282722513089005	-0.371727748691099	0.3717277486911
192	-0.28125	0.28125	-0.375	0.369791666666667
193	-0.274611398963731	0.274611398963731	-0.357512953367876	0.362694300518135
194	-0.278350515463918	0.278350515463918	-0.371134020618557	0.365979381443299
195	-0.276923076923077	0.276923076923077	-0.353846153846154	0.374358974358974
196	-0.285714285714286	0.275510204081633	-0.36734693877551	0.362244897959184
197	-0.284263959390863	0.279187817258883	-0.375634517766497	0.360406091370558
198	-0.272727272727273	0.287878787878788	-0.373737373737374	0.368686868686869
199	-0.276381909547739	0.276381909547739	-0.361809045226131	0.361809045226131
200	-0.28	0.28	-0.365	0.36
201	-0.27363184079602	0.278606965174129	-0.36318407960199	0.373134328358209
202	-0.277227722772277	0.277227722772277	-0.366336633663366	0.366336633663366
203	-0.280788177339901	0.280788177339901	-0.379310344827586	0.359605911330049
204	-0.284313725490196	0.284313725490196	-0.357843137254902	0.372549019607843
205	-0.273170731707317	0.273170731707317	-0.351219512195122	0.360975609756098
206	-0.281553398058252	0.276699029126214	-0.364077669902913	0.354368932038835
207	-0.280193236714976	0.280193236714976	-0.376811594202899	0.352657004830918
208	-0.278846153846154	0.274038461538462	-0.365384615384615	0.360576923076923
209	-0.282296650717703	0.282296650717703	-0.368421052631579	0.373205741626794
210	-0.271428571428571	0.276190476190476	-0.352380952380952	0.366666666666667
211	-0.279620853080569	0.279620853080569	-0.360189573459716	0.364928909952607
212	-0.278301886792453	0.273584905660377	-0.367924528301887	0.363207547169811
213	-0.276995305164319	0.272300469483568	-0.356807511737089	0.352112676056338
214	-0.275700934579439	0.275700934579439	-0.364485981308411	0.35981308411215
215	-0.27906976744186	0.269767441860465	-0.367441860465116	0.348837209302326
216	-0.273148148148148	0.273148148148148	-0.356481481481482	0.356481481481481
217	-0.271889400921659	0.28110599078341	-0.354838709677419	0.36405529953917
218	-0.284403669724771	0.275229357798165	-0.36697247706422	0.371559633027523
219	-0.273972602739726	0.278538812785388	-0.34703196347032	0.374429223744292
220	-0.277272727272727	0.281818181818182	-0.363636363636364	0.368181818181818
221	-0.276018099547511	0.271493212669683	-0.361990950226244	0.361990950226244
222	-0.279279279279279	0.279279279279279	-0.373873873873874	0.36036036036036
223	-0.273542600896861	0.278026905829596	-0.358744394618834	0.363228699551569
224	-0.272321428571429	0.272321428571429	-0.366071428571429	0.361607142857143
225	-0.284444444444444	0.28	-0.364444444444444	0.355555555555556
226	-0.278761061946903	0.269911504424779	-0.371681415929204	0.358407079646018
227	-0.273127753303965	0.277533039647577	-0.365638766519824	0.370044052863436
228	-0.271929824561404	0.271929824561404	-0.359649122807018	0.359649122807017
229	-0.279475982532751	0.270742358078603	-0.353711790393013	0.358078602620087
230	-0.278260869565217	0.273913043478261	-0.365217391304348	0.347826086956522
231	-0.277056277056277	0.277056277056277	-0.354978354978355	0.359307359307359
232	-0.275862068965517	0.271551724137931	-0.362068965517241	0.362068965517241
233	-0.270386266094421	0.274678111587983	-0.360515021459227	0.351931330472103
234	-0.273504273504274	0.277777777777778	-0.35042735042735	0.358974358974359
235	-0.280851063829787	0.272340425531915	-0.370212765957447	0.348936170212766
236	-0.266949152542373	0.275423728813559	-0.351694915254237	0.364406779661017
237	-0.274261603375527	0.274261603375527	-0.358649789029536	0.375527426160338
238	-0.281512605042017	0.273109243697479	-0.361344537815126	0.34453781512605
239	-0.276150627615063	0.284518828451883	-0.355648535564854	0.368200836820084
240	-0.266666666666667	0.283333333333333	-0.358333333333333	0.3625
241	-0.278008298755187	0.273858921161826	-0.37344398340249	0.356846473029046
242	-0.276859504132231	0.28099173553719	-0.355371900826446	0.367768595041322
243	-0.275720164609054	0.283950617283951	-0.362139917695473	0.362139917695473
244	-0.282786885245902	0.274590163934426	-0.360655737704918	0.352459016393443
245	-0.277551020408163	0.281632653061225	-0.363265306122449	0.363265306122449
246	-0.272357723577236	0.280487804878049	-0.365853658536585	0.361788617886179
247	-0.271255060728745	0.275303643724696	-0.340080971659919	0.360323886639676
248	-0.274193548387097	0.270161290322581	-0.354838709677419	0.350806451612903
249	-0.281124497991968	0.269076305220884	-0.369477911646586	0.357429718875502
250	-0.268	0.272	-0.36	0.356
251	-0.270916334661355	0.274900398406375	-0.346613545816733	0.354581673306773
252	-0.273809523809524	0.277777777777778	-0.357142857142857	0.369047619047619
253	-0.276679841897233	0.268774703557312	-0.359683794466403	0.351778656126482
254	-0.275590551181102	0.275590551181102	-0.346456692913386	0.354330708661417
255	-0.27843137254902	0.266666666666667	-0.364705882352941	0.36078431372549
256	-0.26953125	0.26171875	-0.3515625	0.34375
